Mã đặt chỗ,Ngày đặt tour,Ngày đi tour,Mã khách hàng,Nhóm khách hàng,Loại tour,Kênh bán hàng,Kênh thanh toán,Địa điểm,Số lượng người đi,Giá gốc (VND),Giảm giá,Mức độ hoàn thành,Giá cuối cùng,Mức độ hài lòng,Trở lại sử dụng dịch vụ
B03270,6/17/2024,6/17/2024,C1151,Gia đình,Văn hóa,Website,Thẻ,Hạ Long,3,2898000,16%,Hoàn thành,7323000,4.8,Sai
B03271,6/17/2024,7/27/2024,C0922,Học sinh,Gia đình,Website,Chuyển khoản,Phú Quốc,2,3718000,12%,Hoàn thành,6538000,4.1,Đúng
B03272,6/18/2024,7/7/2024,C1030,Gia đình,Văn hóa,App điện thoại,Thẻ,Nha Trang,1,3573000,11%,Hoàn thành,3193000,4.7,Đúng
B03273,6/18/2024,8/6/2024,C0848,Người đi làm,Văn hóa,App điện thoại,Thẻ,TP.HCM,2,2443000,8%,Hoàn thành,4510000,4.1,Đúng
B03274,6/18/2024,6/26/2024,C1152,Doanh nghiệp,Văn hóa,App điện thoại,Thẻ,TP.HCM,2,2353000,4%,Hủy bỏ,0,,Sai
B03275,6/19/2024,8/28/2024,C0398,Gia đình,Văn hóa,App điện thoại,Ví điện tử,Đà Nẵng,2,2848000,12%,Hoàn thành,5029000,4.7,Đúng
B03276,6/19/2024,8/27/2024,C1153,Người đi làm,Gia đình,Khác,Thẻ,Khác,3,3349000,15%,Hoàn thành,8581000,4.3,Sai
B03277,6/19/2024,9/23/2024,C0814,Người đi làm,Khám phá,App điện thoại,Thẻ,Huế,4,4540000,12%,Hoàn thành,15958000,4.6,Đúng
B03278,6/19/2024,9/1/2024,C0810,Doanh nghiệp,City Break,App điện thoại,Thẻ,Đà Lạt,3,2138000,6%,Hoàn thành,6042000,4.3,Đúng
B03279,6/19/2024,8/16/2024,C0261,Người đi làm,City Break,Website,Phương thức khác,Hội An,2,1475000,4%,Hoàn thành,2829000,4.1,Đúng
B03280,6/20/2024,8/3/2024,C1081,Người đi làm,Văn hóa,App điện thoại,Ví điện tử,TP.HCM,2,2509000,4%,Hoàn thành,4804000,4.9,Đúng
B03281,6/20/2024,7/2/2024,C1154,Doanh nghiệp,Biển,App điện thoại,Thẻ,Đà Nẵng,2,5081000,8%,Hoàn thành,9362000,4.4,Sai
B03282,6/21/2024,7/9/2024,C1155,Gia đình,Khám phá,Đại lý,Chuyển khoản,Huế,1,5245000,6%,Hoàn thành,4929000,3.8,Sai
B03283,6/21/2024,8/10/2024,C0639,Học sinh,City Break,Website,Chuyển khoản,Hội An,1,1641000,8%,Hoàn thành,1508000,4.1,Đúng
B03284,6/21/2024,7/17/2024,C1037,Người đi làm,Văn hóa,App điện thoại,Thẻ,Phú Quốc,2,2740000,9%,Hoàn thành,4968000,4.1,Đúng
B03285,6/22/2024,7/31/2024,C1156,Gia đình,Văn hóa,Website,Tiền,Nha Trang,2,3608000,8%,Hoàn thành,6639000,4.4,Sai
B03286,6/22/2024,9/5/2024,C0760,Người đi làm,Biển,Website,Thẻ,TP.HCM,2,3630000,21%,Hủy bỏ,0,,Đúng
B03287,6/22/2024,8/25/2024,C1157,Người đi làm,Gia đình,Đại lý,Thẻ,Huế,5,3365000,9%,Hoàn thành,15277000,4.2,Sai
B03288,6/22/2024,8/20/2024,C1158,Doanh nghiệp,Biển,Đại lý,Thẻ,Phú Quốc,3,4191000,16%,Hủy bỏ,0,,Sai
B03289,6/24/2024,9/11/2024,C1088,Khác,Văn hóa,Đại lý,Thẻ,Đà Lạt,4,2483000,12%,Hoàn thành,8741000,4.2,Đúng
B03290,6/24/2024,7/28/2024,C0059,Học sinh,Biển,Website,Chuyển khoản,Phú Quốc,4,4180000,8%,Hủy bỏ,15337000,4.1,Đúng
B03291,6/24/2024,9/17/2024,C0677,Gia đình,Gia đình,Đại lý,Chuyển khoản,Đà Nẵng,2,3214000,7%,Hoàn thành,5980000,3.5,Đúng
B03292,6/25/2024,8/14/2024,C0773,Gia đình,Biển,App điện thoại,Chuyển khoản,Hội An,1,4491000,5%,Hủy bỏ,0,,Đúng
B03293,6/25/2024,9/5/2024,C0603,Học sinh,Ăn uống,Đại lý,Thẻ,Đà Nẵng,2,2563000,13%,Hoàn thành,4471000,3.9,Đúng
B03294,6/26/2024,7/28/2024,C0605,Gia đình,Khám phá,Đại lý,Chuyển khoản,Nha Trang,2,5517000,13%,Hoàn thành,9566000,3.5,Đúng
B03295,6/27/2024,8/31/2024,C0967,Doanh nghiệp,Biển,Gọi điện tư vấn,Thẻ,Hà Nội,2,4347000,14%,Hoàn thành,7517000,4.2,Đúng
B03296,6/27/2024,7/22/2024,C1159,Người đi làm,Khám phá,App điện thoại,Thẻ,Phú Quốc,1,5490000,9%,Hoàn thành,5007000,4.3,Sai
B03297,6/28/2024,9/2/2024,C0033,Học sinh,Gia đình,App điện thoại,Chuyển khoản,Hội An,1,2626000,14%,Hoàn thành,2246000,3.7,Đúng
B03298,6/28/2024,8/26/2024,C1054,Gia đình,Biển,Website,Thẻ,Nha Trang,3,4372000,12%,Hoàn thành,11481000,4.2,Đúng
B03299,6/29/2024,8/2/2024,C1160,Doanh nghiệp,Ăn uống,Website,Phương thức khác,Huế,3,2905000,15%,Hủy bỏ,0,,Sai
B03300,6/30/2024,9/1/2024,C0963,Người đi làm,Khám phá,Website,Ví điện tử,Hà Nội,2,4477000,6%,Hoàn thành,8433000,3.9,Đúng
B03301,7/1/2024,9/2/2024,C0545,Gia đình,Văn hóa,App điện thoại,Thẻ,Nha Trang,1,3205000,9%,Hủy bỏ,0,,Đúng
B03302,7/1/2024,8/24/2024,C0570,Học sinh,City Break,Website,Thẻ,Sa Pa,1,2232000,13%,Hoàn thành,1949000,4.3,Đúng
B03303,7/2/2024,8/1/2024,C0654,Học sinh,Biển,Khác,Tiền,Đà Nẵng,4,4677000,15%,Hoàn thành,15981000,3.7,Đúng
B03304,7/2/2024,8/23/2024,C0364,Gia đình,Biển,Website,Thẻ,Nha Trang,2,4281000,2%,Hoàn thành,8429000,3.7,Đúng
B03305,7/3/2024,8/29/2024,C1161,Gia đình,City Break,Đại lý,Chuyển khoản,Hà Nội,1,2756000,18%,Hoàn thành,2266000,4.9,Sai
B03306,7/3/2024,9/17/2024,C1127,Gia đình,Khám phá,Website,Thẻ,Sa Pa,1,4889000,11%,Hoàn thành,4360000,4.2,Đúng
B03307,7/3/2024,8/5/2024,C1162,Gia đình,Văn hóa,Đại lý,Thẻ,Đà Nẵng,3,2771000,3%,Hoàn thành,8100000,4.6,Sai
B03308,7/3/2024,9/14/2024,C0526,Gia đình,Gia đình,Đại lý,Thẻ,Huế,1,3059000,9%,Hoàn thành,2789000,3.8,Đúng
B03309,7/4/2024,9/17/2024,C1076,Người đi làm,Biển,Website,Thẻ,TP.HCM,3,3533000,15%,Hoàn thành,9025000,3.8,Đúng
B03310,7/5/2024,8/31/2024,C0281,Gia đình,Khám phá,Website,Thẻ,Phú Quốc,4,5546000,12%,Hoàn thành,19512000,4.4,Đúng
B03311,7/5/2024,8/16/2024,C1163,Doanh nghiệp,Văn hóa,Website,Thẻ,Sa Pa,3,2582000,11%,Hoàn thành,6882000,4.2,Sai
B03312,7/5/2024,10/6/2024,C1164,Người đi làm,Biển,Website,Thẻ,Nha Trang,1,4485000,13%,Hoàn thành,3917000,4.2,Sai
B03313,7/6/2024,10/4/2024,C0454,Gia đình,Biển,App điện thoại,Tiền,Phú Quốc,3,3606000,16%,Hoàn thành,9074000,4.3,Đúng
B03314,7/6/2024,8/31/2024,C1165,Doanh nghiệp,Văn hóa,Website,Ví điện tử,Nha Trang,4,3289000,7%,Hoàn thành,12252000,4.2,Sai
B03315,7/7/2024,7/29/2024,C0250,Người đi làm,Khám phá,Website,Thẻ,Hạ Long,3,5705000,9%,Hủy bỏ,15537000,3.7,Đúng
B03316,7/8/2024,9/16/2024,C0457,Người đi làm,Gia đình,Website,Thẻ,Phú Quốc,4,3280000,13%,Hoàn thành,11363000,4.2,Đúng
B03317,7/8/2024,8/17/2024,C1166,Học sinh,Ăn uống,Website,Thẻ,Nha Trang,2,2645000,0%,Hoàn thành,5270000,4.4,Sai
B03318,7/9/2024,8/30/2024,C0920,Học sinh,Khám phá,Đại lý,Thẻ,Đà Lạt,2,4728000,8%,Hoàn thành,8705000,3.9,Đúng
B03319,7/10/2024,10/8/2024,C1167,Người đi làm,Gia đình,Website,Tiền,Hà Nội,3,2979000,7%,Hoàn thành,8278000,3.8,Sai
B03320,7/10/2024,10/2/2024,C0525,Khác,Gia đình,Website,Thẻ,Phú Quốc,2,3306000,14%,Hoàn thành,5671000,4,Đúng
B03321,7/10/2024,8/24/2024,C1168,Gia đình,Biển,Khác,Chuyển khoản,Nha Trang,1,4143000,14%,Hoàn thành,3547000,4,Sai
B03322,11/7/2024,8/27/2024,C0417,Doanh nghiệp,Biển,Khác,Thẻ,Phú Quốc,3,4270000,5%,Hoàn thành,12206000,4.8,Đúng
B03323,7/11/2024,9/1/2024,C0600,Người đi làm,Khám phá,Website,Chuyển khoản,Nha Trang,1,4765000,8%,Hoàn thành,4389000,4.5,Đúng
B03324,7/11/2024,8/15/2024,C1003,Doanh nghiệp,Gia đình,App điện thoại,Tiền,Đà Lạt,1,3162000,10%,Hoàn thành,2844000,4.9,Đúng
B03325,7/12/2024,9/17/2024,C0866,Gia đình,Gia đình,Website,Chuyển khoản,Hạ Long,2,3494000,8%,Hoàn thành,6409000,3.7,Đúng
B03326,7/12/2024,8/22/2024,C1055,Người đi làm,Văn hóa,Khác,Thẻ,Đà Lạt,2,2638000,3%,Hoàn thành,5139000,4.7,Đúng
B03327,7/12/2024,9/15/2024,C1169,Gia đình,Biển,Website,Thẻ,Hà Nội,2,4429000,15%,Hoàn thành,7502000,4,Sai
B03328,7/12/2024,9/29/2024,C0781,Gia đình,Khám phá,Đại lý,Tiền,Sa Pa,3,4535000,9%,Hoàn thành,12411000,3.7,Đúng
B03329,7/13/2024,9/9/2024,C0130,Gia đình,Văn hóa,App điện thoại,Phương thức khác,Hạ Long,3,2752000,16%,Hoàn thành,6945000,3.8,Đúng
B03330,7/13/2024,9/8/2024,C1170,Gia đình,Văn hóa,App điện thoại,Thẻ,Đà Nẵng,2,2574000,8%,Hoàn thành,4727000,3.5,Sai
B03331,7/13/2024,8/31/2024,C1171,Người đi làm,Gia đình,Khác,Thẻ,TP.HCM,1,3127000,11%,Hủy bỏ,0,,Sai
B03332,7/13/2024,8/9/2024,C0021,Học sinh,City Break,Đại lý,Thẻ,Đà Nẵng,3,2732000,10%,Hoàn thành,7350000,3.3,Đúng
B03333,7/13/2024,9/3/2024,C0688,Người đi làm,Gia đình,Đại lý,Phương thức khác,Đà Nẵng,2,3625000,16%,Hoàn thành,6099000,4.6,Đúng
B03334,7/13/2024,8/19/2024,C1172,Gia đình,Ăn uống,Website,Ví điện tử,Hạ Long,1,2689000,11%,Hủy bỏ,0,,Sai
B03335,7/13/2024,8/24/2024,C1173,Gia đình,Biển,Website,Ví điện tử,Phú Quốc,2,4483000,13%,Hoàn thành,7777000,3.8,Sai
B03336,7/14/2024,9/14/2024,C1174,Học sinh,Biển,Website,Thẻ,Hội An,1,4300000,7%,Hoàn thành,3985000,4.4,Sai
B03337,7/14/2024,10/6/2024,C0761,Người đi làm,Gia đình,Website,Thẻ,Nha Trang,2,3491000,10%,Hoàn thành,6316000,4.7,Đúng
B03338,7/14/2024,9/1/2024,C0731,Gia đình,Biển,Website,Chuyển khoản,Đà Nẵng,1,4312000,5%,Hủy bỏ,0,,Đúng
B03339,7/15/2024,9/28/2024,C1175,Người đi làm,Khám phá,Website,Ví điện tử,Nha Trang,1,4781000,16%,Hoàn thành,4017000,4.6,Sai
B03340,7/15/2024,9/7/2024,C0613,Gia đình,Văn hóa,Website,Tiền,Hội An,2,2519000,9%,Hoàn thành,4575000,4.2,Đúng
B03341,7/15/2024,8/9/2024,C0612,Gia đình,City Break,Đại lý,Chuyển khoản,Khác,2,2755000,5%,Hoàn thành,5253000,4.4,Đúng
B03342,7/15/2024,9/24/2024,C0879,Người đi làm,Gia đình,App điện thoại,Tiền,Đà Nẵng,1,3438000,9%,Hoàn thành,3133000,4.9,Đúng
B03343,7/16/2024,8/5/2024,C0375,Người đi làm,City Break,App điện thoại,Tiền,Hà Nội,3,3000000,12%,Hủy bỏ,7878000,4.9,Đúng
B03344,7/17/2024,10/8/2024,C0585,Học sinh,Văn hóa,Website,Tiền,Sa Pa,2,2392000,2%,Hoàn thành,4667000,4.2,Đúng
B03345,7/17/2024,10/8/2024,C0650,Học sinh,Biển,Website,Chuyển khoản,Hội An,5,4112000,7%,Hủy bỏ,0,,Đúng
B03346,7/17/2024,8/24/2024,C1093,Gia đình,City Break,App điện thoại,Thẻ,Huế,4,2074000,4%,Hoàn thành,7963000,4.5,Đúng
B03347,7/17/2024,9/7/2024,C1176,Gia đình,City Break,Website,Thẻ,Hội An,1,1306000,15%,Hoàn thành,1116000,4.4,Sai
B03348,7/17/2024,9/23/2024,C1177,Người đi làm,Văn hóa,App điện thoại,Thẻ,Hà Nội,3,2507000,11%,Hoàn thành,6702000,3.9,Sai
B03349,7/18/2024,9/29/2024,C1178,Người đi làm,Ăn uống,App điện thoại,Thẻ,Khác,1,2611000,9%,Hoàn thành,2380000,4.2,Sai
B03350,7/18/2024,8/22/2024,C0194,Gia đình,Khám phá,Website,Tiền,Hội An,2,4417000,8%,Hoàn thành,8096000,4.3,Đúng
B03351,7/18/2024,9/12/2024,C1179,Học sinh,Biển,Gọi điện tư vấn,Thẻ,Khác,2,3019000,13%,Hoàn thành,5225000,4,Sai
B03352,7/18/2024,9/23/2024,C1180,Gia đình,Ăn uống,Đại lý,Thẻ,Hội An,1,2081000,10%,Hoàn thành,1879000,4.4,Sai
B03353,7/18/2024,9/5/2024,C0004,Gia đình,Biển,Đại lý,Thẻ,Hội An,1,3987000,13%,Hoàn thành,3464000,3.5,Đúng
B03354,7/19/2024,8/25/2024,C0917,Người đi làm,Văn hóa,Website,Chuyển khoản,Hội An,3,2860000,9%,Hủy bỏ,0,,Đúng
B03355,7/19/2024,9/2/2024,C1152,Học sinh,Văn hóa,Website,Thẻ,Nha Trang,1,3243000,12%,Hoàn thành,2859000,4.6,Đúng
B03356,7/19/2024,8/22/2024,C1181,Doanh nghiệp,Văn hóa,Website,Chuyển khoản,Hội An,1,2913000,10%,Hoàn thành,2620000,3.9,Sai
B03357,7/19/2024,8/12/2024,C0770,Học sinh,Biển,App điện thoại,Ví điện tử,Huế,2,3614000,14%,Hoàn thành,6239000,3.2,Đúng
B03358,7/19/2024,10/3/2024,C0086,Doanh nghiệp,Khám phá,Khác,Thẻ,Hà Nội,2,4644000,14%,Hoàn thành,8028000,4.1,Đúng
B03359,7/21/2024,9/18/2024,C0317,Gia đình,Văn hóa,Khác,Thẻ,Hội An,1,2815000,9%,Hoàn thành,2557000,4.9,Đúng
B03360,7/21/2024,9/9/2024,C0512,Gia đình,Văn hóa,Website,Chuyển khoản,Sa Pa,1,2320000,13%,Hoàn thành,2007000,3.8,Đúng
B03361,7/21/2024,8/30/2024,C1182,Học sinh,Ăn uống,Đại lý,Tiền,Sa Pa,1,2599000,13%,Hoàn thành,2269000,3.3,Sai
B03362,7/21/2024,9/21/2024,C0253,Gia đình,Văn hóa,Website,Thẻ,Sa Pa,1,2416000,11%,Hủy bỏ,0,,Đúng
B03363,7/22/2024,8/24/2024,C0799,Người đi làm,Gia đình,Website,Chuyển khoản,Khác,4,3285000,10%,Hoàn thành,11803000,4,Đúng
B03364,7/22/2024,10/13/2024,C0765,Học sinh,Gia đình,Đại lý,Chuyển khoản,Đà Nẵng,3,3642000,10%,Hoàn thành,9835000,3.7,Đúng
B03365,7/22/2024,10/9/2024,C1183,Gia đình,Gia đình,Website,Thẻ,Hạ Long,2,3445000,6%,Hoàn thành,6495000,4.7,Sai
B03366,7/23/2024,8/20/2024,C1184,Doanh nghiệp,Khám phá,Website,Chuyển khoản,Nha Trang,1,4866000,12%,Hoàn thành,4299000,4,Sai
B03367,7/23/2024,9/15/2024,C0815,Gia đình,Khám phá,Khác,Phương thức khác,Đà Nẵng,2,5198000,5%,Hủy bỏ,0,,Đúng
B03368,7/23/2024,9/16/2024,C1040,Người đi làm,Văn hóa,Website,Ví điện tử,Hạ Long,1,2638000,9%,Hoàn thành,2403000,3.8,Đúng
B03369,7/23/2024,9/29/2024,C1185,Người đi làm,Biển,Website,Tiền,Phú Quốc,2,3905000,13%,Hoàn thành,6823000,4.5,Sai
B03370,7/24/2024,10/1/2024,C1186,Người đi làm,Khám phá,App điện thoại,Chuyển khoản,Hội An,2,4562000,14%,Hoàn thành,7872000,4.3,Sai
B03371,7/24/2024,10/1/2024,C1187,Người đi làm,Khám phá,App điện thoại,Ví điện tử,Nha Trang,4,4897000,9%,Hoàn thành,17839000,4.3,Sai
B03372,7/25/2024,9/25/2024,C1188,Người đi làm,Khám phá,Đại lý,Thẻ,Hạ Long,2,5712000,12%,Hoàn thành,10110000,4.4,Sai
B03373,7/26/2024,8/5/2024,C0707,Gia đình,Khám phá,Website,Thẻ,Đà Lạt,1,4695000,9%,Hoàn thành,4268000,4,Đúng
B03374,7/26/2024,9/8/2024,C1055,Người đi làm,Biển,Đại lý,Thẻ,Hà Nội,2,4013000,9%,Hoàn thành,7334000,3.8,Đúng
B03375,7/26/2024,9/6/2024,C0768,Gia đình,Gia đình,Gọi điện tư vấn,Ví điện tử,Đà Nẵng,2,3322000,14%,Hoàn thành,5715000,4.3,Đúng
B03376,7/27/2024,9/12/2024,C1189,Học sinh,Khám phá,App điện thoại,Ví điện tử,Phú Quốc,2,5436000,12%,Hoàn thành,9550000,4.5,Sai
B03377,7/27/2024,8/23/2024,C0886,Học sinh,City Break,Website,Chuyển khoản,Đà Lạt,1,2342000,12%,Hoàn thành,2072000,3.4,Đúng
B03378,7/28/2024,9/4/2024,C1190,Người đi làm,Biển,App điện thoại,Thẻ,Sa Pa,2,3632000,15%,Hoàn thành,6148000,4,Sai
B03379,7/28/2024,9/20/2024,C1134,Học sinh,Văn hóa,Website,Thẻ,Đà Nẵng,3,2709000,10%,Hủy bỏ,0,,Đúng
B03380,7/30/2024,8/28/2024,C1191,Gia đình,Biển,Website,Tiền,Khác,4,4140000,10%,Hoàn thành,14934000,4.1,Sai
B03381,7/30/2024,10/29/2024,C0453,Người đi làm,Ăn uống,Gọi điện tư vấn,Tiền,Hạ Long,4,2452000,6%,Hoàn thành,9221000,4,Đúng
B03382,7/30/2024,9/22/2024,C0845,Gia đình,Ăn uống,Khác,Chuyển khoản,Đà Lạt,4,2349000,12%,Hoàn thành,8257000,3.9,Đúng
B03383,7/30/2024,9/21/2024,C1192,Doanh nghiệp,Văn hóa,App điện thoại,Phương thức khác,Hạ Long,2,2588000,16%,Hoàn thành,4344000,4.8,Sai
B03384,7/31/2024,10/21/2024,C1126,Gia đình,Gia đình,Đại lý,Thẻ,Đà Lạt,1,3040000,11%,Hoàn thành,2692000,3.7,Đúng
B03385,7/31/2024,9/14/2024,C1193,Gia đình,Gia đình,App điện thoại,Chuyển khoản,TP.HCM,1,3571000,2%,Hoàn thành,3497000,4.8,Sai
B03386,7/31/2024,11/9/2024,C1194,Học sinh,Biển,Đại lý,Tiền,TP.HCM,2,3829000,9%,Hoàn thành,6960000,5,Sai
B03387,7/31/2024,9/25/2024,C0900,Học sinh,Ăn uống,App điện thoại,Tiền,Nha Trang,1,2539000,6%,Hoàn thành,2398000,4.8,Đúng
B03388,7/31/2024,8/30/2024,C1068,Doanh nghiệp,Khám phá,App điện thoại,Thẻ,Đà Nẵng,1,5672000,13%,Hoàn thành,4925000,4.1,Đúng
B03389,7/31/2024,10/14/2024,C1091,Gia đình,City Break,Website,Thẻ,Đà Nẵng,2,2448000,12%,Hoàn thành,4287000,3.9,Đúng
B03390,8/1/2024,9/27/2024,C0818,Gia đình,Khám phá,Website,Thẻ,TP.HCM,1,4943000,11%,Hoàn thành,4381000,3.6,Đúng
B03391,1/8/2024,10/30/2024,C0760,Học sinh,Biển,Website,Thẻ,Khác,2,4124000,8%,Hoàn thành,7619000,4,Đúng
B03392,8/2/2024,10/22/2024,C1195,Gia đình,Khám phá,Website,Thẻ,Phú Quốc,1,5185000,10%,Hoàn thành,4656000,4.8,Sai
B03393,8/2/2024,9/15/2024,C1108,Gia đình,Văn hóa,Website,Thẻ,Nha Trang,1,3148000,8%,Hủy bỏ,0,,Đúng
B03394,8/2/2024,10/27/2024,C0750,Doanh nghiệp,Khám phá,Website,Thẻ,Đà Lạt,2,4385000,16%,Hoàn thành,7374000,3.9,Đúng
B03395,8/2/2024,10/4/2024,C0834,Học sinh,Ăn uống,Đại lý,Thẻ,Sa Pa,1,2696000,5%,Hoàn thành,2559000,4,Đúng
B03396,8/2/2024,10/1/2024,C0869,Doanh nghiệp,Văn hóa,Website,Thẻ,Đà Nẵng,2,2699000,9%,Hủy bỏ,4926000,4.5,Đúng
B03397,8/2/2024,9/28/2024,C1196,Khác,Văn hóa,Gọi điện tư vấn,Thẻ,Hạ Long,3,2585000,13%,Hủy bỏ,0,,Sai
B03398,8/3/2024,9/15/2024,C0586,Người đi làm,Ăn uống,Website,Thẻ,Hạ Long,3,2473000,4%,Hoàn thành,7138000,4,Đúng
B03399,8/3/2024,10/16/2024,C1197,Học sinh,Ăn uống,App điện thoại,Thẻ,Sa Pa,2,2760000,5%,Hoàn thành,5255000,4.2,Sai
B03400,8/4/2024,10/21/2024,C0960,Người đi làm,Văn hóa,Website,Chuyển khoản,Khác,1,2973000,7%,Hoàn thành,2776000,4.5,Đúng
B03401,8/4/2024,9/4/2024,C1198,Gia đình,Ăn uống,Website,Thẻ,TP.HCM,1,2485000,8%,Hoàn thành,2288000,3.7,Sai
B03402,8/4/2024,8/31/2024,C0632,Học sinh,Gia đình,Website,Thẻ,TP.HCM,2,3349000,13%,Hoàn thành,5832000,4.1,Đúng
B03403,8/4/2024,10/16/2024,C1199,Khác,Ăn uống,App điện thoại,Thẻ,Đà Nẵng,1,2746000,21%,Hoàn thành,2169000,4.2,Sai
B03404,8/5/2024,10/9/2024,C1200,Học sinh,Văn hóa,Khác,Chuyển khoản,Sa Pa,1,2397000,12%,Hoàn thành,2116000,5,Sai
B03405,8/6/2024,10/16/2024,C0728,Người đi làm,Văn hóa,App điện thoại,Chuyển khoản,Hội An,2,2914000,12%,Hoàn thành,5117000,5,Đúng
B03406,8/6/2024,8/25/2024,C1201,Gia đình,Biển,Đại lý,Thẻ,Phú Quốc,3,4334000,2%,Hoàn thành,12735000,4,Sai
B03407,8/8/2024,9/25/2024,C1099,Người đi làm,Gia đình,Website,Chuyển khoản,Huế,1,2938000,18%,Hoàn thành,2405000,4.2,Đúng
B03408,8/8/2024,9/3/2024,C1202,Người đi làm,Biển,Website,Phương thức khác,Nha Trang,2,4308000,10%,Hoàn thành,7764000,4,Sai
B03409,8/10/2024,11/10/2024,C0428,Gia đình,Văn hóa,App điện thoại,Thẻ,Sa Pa,4,2389000,5%,Hoàn thành,9104000,4.2,Đúng
B03410,8/10/2024,9/28/2024,C1101,Người đi làm,Biển,Đại lý,Thẻ,TP.HCM,3,3726000,10%,Hủy bỏ,0,,Đúng
B03411,8/11/2024,10/26/2024,C1203,Doanh nghiệp,City Break,Website,Thẻ,Hà Nội,2,2520000,8%,Hoàn thành,4633000,4,Sai
B03412,8/11/2024,11/4/2024,C1204,Gia đình,Biển,App điện thoại,Tiền,Hà Nội,1,3952000,7%,Hoàn thành,3693000,4.4,Sai
B03413,8/11/2024,9/15/2024,C0106,Học sinh,Biển,Đại lý,Thẻ,Hội An,1,4103000,11%,Hoàn thành,3640000,4.6,Đúng
B03414,8/11/2024,9/27/2024,C1205,Người đi làm,Biển,Đại lý,Thẻ,Phú Quốc,3,4068000,2%,Hoàn thành,11957000,3.6,Sai
B03415,8/12/2024,10/7/2024,C0792,Doanh nghiệp,Biển,Website,Thẻ,Khác,3,3437000,8%,Hoàn thành,9525000,4.5,Đúng
B03416,8/12/2024,9/10/2024,C0944,Doanh nghiệp,Biển,Website,Thẻ,Phú Quốc,1,4112000,11%,Hoàn thành,3640000,4.6,Đúng
B03417,8/13/2024,10/20/2024,C1206,Gia đình,Gia đình,App điện thoại,Thẻ,Đà Nẵng,1,3547000,13%,Hoàn thành,3092000,3.8,Sai
B03418,8/13/2024,10/16/2024,C1207,Gia đình,Gia đình,App điện thoại,Ví điện tử,Nha Trang,3,3389000,6%,Hoàn thành,9537000,4.9,Sai
B03419,8/14/2024,9/24/2024,C0271,Người đi làm,Biển,Website,Tiền,Khác,3,4135000,9%,Hoàn thành,11326000,4.4,Đúng
B03420,8/14/2024,10/15/2024,C0031,Doanh nghiệp,Văn hóa,Website,Tiền,TP.HCM,1,2326000,14%,Hoàn thành,2004000,4.7,Đúng
B03421,8/14/2024,10/7/2024,C0687,Học sinh,Gia đình,App điện thoại,Ví điện tử,Phú Quốc,1,3291000,3%,Hoàn thành,3176000,4.4,Đúng
B03422,8/14/2024,9/3/2024,C0917,Doanh nghiệp,Ăn uống,App điện thoại,Tiền,Nha Trang,1,2497000,6%,Hoàn thành,2358000,4.3,Đúng
B03423,8/15/2024,10/7/2024,C1208,Người đi làm,Khám phá,Website,Thẻ,Phú Quốc,4,5150000,13%,Hoàn thành,18014000,4,Sai
B03424,8/15/2024,10/27/2024,C1209,Học sinh,Biển,Website,Thẻ,Huế,2,3550000,12%,Hoàn thành,6266000,3.9,Sai
B03425,8/16/2024,11/9/2024,C1210,Gia đình,Gia đình,Website,Thẻ,Đà Nẵng,2,3457000,13%,Hoàn thành,6047000,3.4,Sai
B03426,8/17/2024,9/7/2024,C0557,Học sinh,Biển,Website,Tiền,Khác,1,3166000,9%,Hoàn thành,2892000,4.4,Đúng
B03427,8/17/2024,10/10/2024,C0088,Người đi làm,Biển,Đại lý,Chuyển khoản,Phú Quốc,1,3970000,8%,Hoàn thành,3647000,3.8,Đúng
B03428,8/18/2024,9/9/2024,C0599,Doanh nghiệp,Biển,App điện thoại,Ví điện tử,Nha Trang,2,4330000,8%,Hoàn thành,8002000,4.8,Đúng
B03429,8/18/2024,10/12/2024,C0935,Doanh nghiệp,Ăn uống,App điện thoại,Chuyển khoản,Huế,3,2562000,4%,Hoàn thành,7343000,4.2,Đúng
B03430,8/18/2024,10/27/2024,C1063,Học sinh,Biển,App điện thoại,Thẻ,Phú Quốc,1,3904000,11%,Hoàn thành,3481000,3.9,Đúng
B03431,8/18/2024,10/1/2024,C0209,Người đi làm,Khám phá,Website,Thẻ,Phú Quốc,3,5140000,2%,Hoàn thành,15178000,4.5,Đúng
B03432,8/18/2024,10/10/2024,C1096,Người đi làm,Văn hóa,Đại lý,Tiền,Đà Nẵng,1,2818000,16%,Hoàn thành,2366000,4.3,Đúng
B03433,8/20/2024,10/6/2024,C1009,Doanh nghiệp,Khám phá,Website,Tiền,Huế,4,4314000,7%,Hoàn thành,16070000,4.9,Đúng
B03434,8/20/2024,9/13/2024,C1211,Người đi làm,Văn hóa,Website,Thẻ,Phú Quốc,3,2533000,6%,Hoàn thành,7172000,3.8,Sai
B03435,8/20/2024,11/12/2024,C0559,Người đi làm,Gia đình,Website,Chuyển khoản,Hội An,3,2681000,5%,Hoàn thành,7632000,4.3,Đúng
B03436,8/21/2024,8/31/2024,C1212,Doanh nghiệp,Gia đình,Khác,Thẻ,Huế,1,3228000,13%,Hoàn thành,2822000,4.6,Sai
B03437,8/21/2024,11/2/2024,C0049,Doanh nghiệp,Văn hóa,Đại lý,Thẻ,Hạ Long,1,2653000,15%,Hoàn thành,2249000,3.7,Đúng
